"Cell_ID_Myeloid","Cell_ID_Tumor","Distance","Cell_type"
"M_4","T_6",769.50451713647,"H+"
"M_5","T_6",1993.84742206296,"H+"
"M_6","T_6",1668.08825093462,"H+"
"M_7","T_6",2349.08050446735,"H-"
"M_8","T_6",916.436696648549,"H+"
"M_9","T_6",1722.77340444863,"H+"
"M_10","T_6",2023.11344349641,"H-"
"M_11","T_6",1144.44259960532,"H+"
"M_12","T_6",1006.52006182915,"H+"
"M_13","T_6",1933.69915691302,"H+"
"M_14","T_6",1489.48701573178,"H+"
"M_15","T_6",599.066915863734,"H+"
"M_16","T_6",1356.77474012286,"H+"
"M_17","T_6",85.9386375846167,"H+"
"M_18","T_6",830.74397032897,"H+"
"M_19","T_6",2215.92720119565,"H+"
"M_20","T_6",203.055357028999,"H+"
"M_21","T_6",2065.87147085038,"H+"
"M_22","T_6",2306.45180245237,"H-"
"M_23","T_6",999.369625729068,"H+"
"M_24","T_6",474.731865942966,"H+"
"M_25","T_6",1098.88606107357,"H+"
"M_26","T_6",773.27522262839,"H+"
"M_27","T_6",1872.25371704826,"H+"
"M_28","T_6",1663.4167576259,"H+"
"M_29","T_6",2344.17276844024,"H-"
"M_30","T_6",2212.21326914908,"H-"
"M_31","T_6",924.372653363591,"H+"
"M_32","T_6",1506.4448350068,"H+"
"M_33","T_6",1001.85809795874,"H+"
"M_34","T_6",1964.07310759868,"H+"
"M_35","T_6",2572.9885266396,"H+"
"M_36","T_6",897.630510242671,"H+"
"M_37","T_6",1379.64626079052,"H+"
"M_38","T_6",1127.73128349265,"H+"
"M_39","T_6",1655.70059640572,"H-"
"M_40","T_6",2203.83353638277,"H-"
"M_41","T_6",945.029198546424,"H-"
"M_42","T_6",1428.40848700357,"H+"
"M_43","T_6",2223.68998449101,"H+"
"M_44","T_6",1925.24456678494,"H+"
"M_45","T_6",2573.03041312269,"H+"
"M_46","T_6",1100.80393221046,"H+"
"M_47","T_6",1839.2682521876,"H+"
"M_48","T_6",2072.13486836921,"H+"
"M_49","T_6",2364.97425720386,"H+"
"M_50","T_6",817.452454517959,"H+"
"M_51","T_6",2162.20895535886,"H+"
